Date,Price
5/11/2020,2.944
5/8/2020,3.063
5/7/2020,3.158
5/6/2020,3.11
5/5/2020,3.024
5/4/2020,3.042
5/1/2020,2.974
4/30/2020,2.974
4/29/2020,3.05
4/28/2020,3.065
4/27/2020,3.096
4/24/2020,3.197
4/23/2020,3.183
4/22/2020,3.246
4/21/2020,3.247
4/20/2020,3.229
4/17/2020,3.246
4/16/2020,3.278
4/15/2020,3.306
4/14/2020,3.244
4/13/2020,3.219
4/10/2020,3.224
4/9/2020,3.155
4/8/2020,3.142
4/7/2020,3.174
4/6/2020,3.437
4/3/2020,3.526
4/2/2020,3.547
4/1/2020,3.622
3/31/2020,3.517
3/30/2020,3.54
3/27/2020,3.454
3/26/2020,3.299
3/25/2020,2.969
3/24/2020,3.158
3/23/2020,3.17
3/20/2020,2.88
3/19/2020,2.845
3/18/2020,2.596
3/17/2020,2.473
3/16/2020,2.424
3/13/2020,2.439
3/12/2020,2.414
3/11/2020,2.302
3/10/2020,2.338
3/9/2020,2.235
3/6/2020,2.34
3/5/2020,2.463
3/4/2020,2.556
3/3/2020,2.754
3/2/2020,2.806
2/28/2020,2.856
2/27/2020,2.897
2/26/2020,2.864
2/25/2020,2.88
2/24/2020,2.956
2/21/2020,2.877
2/20/2020,2.839
2/19/2020,2.85
2/18/2020,2.835
2/17/2020,2.823
2/14/2020,2.975
2/13/2020,3.09
2/12/2020,3.027
2/11/2020,3.072
2/10/2020,3.075
2/7/2020,3.046
2/6/2020,3.013
2/5/2020,3.068
2/4/2020,3.128
2/3/2020,3.328
1/31/2020,3.157
1/30/2020,3.144
1/29/2020,3.056
1/27/2020,3.056
1/24/2020,3.056
1/23/2020,3.056
1/22/2020,3.111
1/21/2020,3.072
1/20/2020,2.944
1/17/2020,2.846
1/16/2020,2.876
1/15/2020,2.923
1/14/2020,3.035
1/13/2020,3.068
1/10/2020,3.075
1/9/2020,3.078
1/8/2020,3.115
1/7/2020,3.169
1/6/2020,3.212
1/3/2020,3.375
1/2/2020,3.417
1/1/2020,3.328
